arquivo;diretorio;tamanho_pasta;tamanho_identificado;grupo;tipo_classificacao;subtipo;material_aparente;cor_predominante;manga;perna_ou_pezinho;fechamento;estampa_ou_detalhes;quantidade;confianca;observacoes
RN/Body_Manga_Curta_Transpassado_Estampado_Ursinho_Pequeno_no_Peito.jpeg;RN;RN;1 Mês;Body;Body Manga Curta;Body Transpassado Estampado;Algodão;Cinza Claro;Manga Curta;Sem Perna;Botões Laterais e entrepernas;Ursinho pequeno no peito;1;Alta;Etiqueta Bout'Chou 1 mois
RN/Body_Manga_Curta_Transpassado_Estampado_Dois_Ursinhos_no_Peito.jpeg;RN;RN;1 Mês;Body;Body Manga Curta;Body Transpassado Estampado;Algodão;Cinza Claro;Manga Curta;Sem Perna;Botões Laterais e entrepernas;Dois ursinhos no peito;1;Alta;Etiqueta Bout'Chou 1 mois
RN/Body_Manga_Curta_Básico_Liso_Branco_01.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Curta_Básico_Liso_Branco_02.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Etiqueta/marca parcialmente visível, tamanho não legível
RN/Body_Manga_Curta_Básico_Liso_Branco_03.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Etiqueta/marca parcialmente visível, tamanho não legível
RN/Body_Manga_Curta_Básico_Liso_Branco_04.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Curta_Básico_Liso_Branco_05.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Curta_Básico_Liso_Branco_06.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Curta_Básico_Liso_Branco_07.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Etiqueta/marca parcialmente visível, tamanho não legível
RN/Body_Manga_Curta_Básico_Liso_Branco_08.jpeg;RN;RN;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_01.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_02.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_03.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_04.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_05.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_06.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Body_Manga_Longa_Básico_Liso_Branco_07.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
RN/Macacão_com_Pezinho_Algodão_com_Gola.jpeg;RN;RN;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão com Gola;Algodão;Branco;Manga Longa;Comprida com Pezinho;Botões Traseiros/entrepernas Prováveis;Gola branca e bordado discreto de ursinho;1;Alta;Etiqueta presente mas tamanho não legível
RN/Conjunto_Meias_Kit_3_Pares_de_Meia_Curta.jpeg;RN;RN;Não Visível;Conjunto;Conjunto de Meias;Kit 3 Pares de Meia Curta;Algodão;Off-White, Branco e Coral;Não Aplicável;Pares de Meias;Sem Fechamento;Meias com ponteiras/detalhes coral em embalagem;1;Alta;Classificado como conjunto por conter vários itens do mesmo tipo
RN/Calçado_Sapatinho_de_Linha_Par_de_Sapatinho_de_Crochê.jpeg;RN;RN;Não Visível;Calçado;Sapatinho de Linha;Par de Sapatinho de Crochê;Linha/Crochê;Vermelho;Não Aplicável;Pezinhos;Sem Fechamento;Sapatinhos de crochê vermelhos;1;Alta;Par agrupado como um item de calcado
0-3/Body_Manga_Curta_Estampado_Frase.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Estampado/Frase;Algodão;Branco;Manga Curta;Sem Perna;Botões de Pressão entrepernas;"Frase ""Filha de Dev"" com computador";1;Alta;-
0-3/Body_Manga_Curta_Estampado.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Estampado;Algodão;Off-White;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Estampa colorida de bichinhos/jardim;1;Alta;Etiqueta Carter's visível, tamanho não legível
0-3/Body_Manga_Curta_Básico_Liso_Off_White_01.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Off-White;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Manga_Curta_Canelado_Liso.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Canelado Liso;Algodão Canelado;Rosa/Coral;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Canelado liso;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Manga_Curta_Básico_Liso_Off_White_02.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Off-White;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Manga_Curta_Estampado_Floral.jpeg;0-3;0-3;3M;Body;Body Manga Curta;Body Estampado Floral;Algodão;Off-White com Flores;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Estampa floral delicada;1;Alta;Etiqueta Carter's 3m visível
0-3/Macacão_Inverno_com_Pezinho_Fleece_Plush_Coelhos.jpeg;0-3;0-3;3M;Macacão;Macacão Inverno com Pezinho;Macacão Fleece/Plush Coelhos;Fleece/Soft;Rosa;Manga Longa;Comprida com Pezinho;Zíper Frontal;Estampa de coelhos e pezinho com detalhe de bichinho;1;Alta;Etiqueta Carter's 3m visível
0-3/Conjunto_2_Bodies_Manga_Curta_e_Calça_Canelada.jpeg;0-3;0-3;Não Visível;Conjunto;Conjunto 2 Bodies Manga Curta e Calça;2 Bodies Manga Curta e Calça Canelada;Algodão/Canelado;Lilás e Off-White;Manga Curta;Calça Comprida;Botões de Pressão nos Bodies e Elástico na Calça;Dinossauros, listras/canelado e patch;1;Alta;Classificado como conjunto e itens descritos no subtipo
0-3/Macacão_Inverno_com_Pezinho_Fleece_Plush_Estampado.jpeg;0-3;0-3;Não Visível;Macacão;Macacão Inverno com Pezinho;Macacão Fleece/Plush Estampado;Fleece/Soft;Multicolor Pastel;Manga Longa;Comprida com Pezinho;Zíper Frontal;Estampa de estrelas sorridentes;1;Alta;Tamanho não legível
0-3/Body_Manga_Longa_Transpassado_Estampado.jpeg;0-3;0-3;3 Meses;Body;Body Manga Longa;Body Transpassado Estampado;Algodão;Off-White;Manga Longa;Sem Perna;Botões Laterais e entrepernas;Estampa pequena de bichinhos/bolinhas;1;Alta;Etiqueta Bout'Chou 3 mois visível
0-3/Body_Manga_Longa_Transpassado_com_Patch.jpeg;0-3;0-3;3 Meses;Body;Body Manga Longa;Body Transpassado com Patch;Algodão;Bege Claro;Manga Longa;Sem Perna;Botões Laterais e entrepernas;Patch pequeno de coelho;1;Alta;Etiqueta Bout'Chou 3 mois visível
0-3/Body_Manga_Longa_Transpassado_Frase.jpeg;0-3;0-3;3 Meses;Body;Body Manga Longa;Body Transpassado/Frase;Algodão;Cinza Mescla;Manga Longa;Sem Perna;Botões Laterais e entrepernas;"Frase ""Mon P'tit Lapin""";1;Alta;Etiqueta Bout'Chou 3 mois visível
0-3/Body_Manga_Longa_Transpassado_Listrado.jpeg;0-3;0-3;3 Meses;Body;Body Manga Longa;Body Transpassado Listrado;Algodão;Branco e Cinza;Manga Longa;Sem Perna;Botões Laterais e entrepernas;Listras horizontais;1;Alta;Etiqueta Bout'Chou 3 mois visível
0-3/Body_Manga_Longa_Básico_Liso_Cinza_Mescla.jpeg;0-3;0-3;0-3;Body;Body Manga Longa;Body Básico Liso;Algodão;Cinza Mescla;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Etiqueta 0-3 visível
0-3/Vestido_Manga_Longa_Linha_Tricô_Xadrez.jpeg;0-3;0-3;Não Visível;Vestido;Vestido Manga Longa;Vestido de Linha/Tricô Xadrez;Linha/Tricô;Vermelho, Azul Marinho e Branco;Manga Longa;Saia Curta/Rodada;Sem Fechamento Visível;Padrão xadrez;1;Alta;Vestido/tricô sem botões aparentes na imagem
0-3/Conjunto_Body_e_Shorts_Manga_Curta_e_Shorts_Canelados.jpeg;0-3;0-3;Não Visível;Conjunto;Conjunto Body e Shorts;Body Manga Curta e Shorts Canelados;Algodão Canelado;Verde Claro;Manga Curta;Shorts;Botões de Pressão no Body e Elástico no Shorts;Canelado liso;1;Alta;Classificado como conjunto e itens descritos no subtipo
0-3/Conjunto_Body_Manga_Longa_e_Calça_Canelados.jpeg;0-3;0-3;P / 1-3M;Conjunto;Conjunto Body Manga Longa e Calça;Body Manga Longa e Calça Canelados;Algodão Canelado;Verde Claro;Manga Longa;Calça Comprida;Botões de Pressão no Body e Elástico na Calça;Canelado liso;1;Alta;Etiqueta XIKIDS P 1-3M 100% algodão visível
0-3/Body_Manga_Longa_com_Gola.jpeg;0-3;0-3;Não Visível;Body;Body Manga Longa;Body com Gola;Algodão;Branco/Off-White;Manga Longa;Sem Perna;Botões no Ombro/Gola e entrepernas;Gola branca;1;Alta;Tamanho não legível
0-3/Body_Manga_Curta_Estampado_Personagens.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Estampado/Personagens;Algodão;Off-White, Verde, Amarelo e Preto;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Estampa de personagens coloridos;1;Alta;Tamanho não legível
0-3/Body_Manga_Curta_Básico_Liso_Cinza_Mescla.jpeg;0-3;0-3;Não Visível;Body;Body Manga Curta;Body Básico Liso;Algodão;Cinza Mescla;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Manga_Longa_Básico_Liso_Off_White_01.jpeg;0-3;0-3;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Off-White;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Manga_Longa_Básico_Liso_Off_White_02.jpeg;0-3;0-3;Não Visível;Body;Body Manga Longa;Body Básico Liso;Algodão;Off-White;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Macacão_com_Pezinho_Algodão_Estampado_Estampa_Pequena_Cinza.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Off-White e Cinza;Manga Longa;Comprida com Pezinho;Não Visível;Estampa pequena cinza;1;Alta;Tamanho e fechamento não legíveis
0-3/Conjunto_Body_Manga_Curta_e_Calça_Estampados.jpeg;0-3;0-3;P;Conjunto;Conjunto Body Manga Curta e Calça;Body Manga Curta e Calça Estampados;Algodão;Off-White, Laranja, Cinza e Bege;Manga Curta;Calça Comprida;Botões de Pressão no Body e Elástico na Calça;Estampa de rostinhos de animais;1;Alta;Etiqueta Casa do Bebê P visível
0-3/Macacão_com_Pezinho_Algodão_Estampado_Estampa_de_Elefantes.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Off-White;Manga Longa;Comprida com Pezinho;Não Visível;Estampa de elefantes;1;Alta;Tamanho e fechamento não legíveis
0-3/Macacão_com_Pezinho_Algodão_Estampado_Estampa_Floral_Folhagem.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Off-White com Flores;Manga Longa;Comprida com Pezinho;Não Visível;Estampa floral/folhagem;1;Alta;Tamanho e fechamento não legíveis
0-3/Body_Sem_Manga_Regata_Básico_Cinza_Mescla.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Básico;Algodão;Cinza Mescla;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Sem_Manga_Regata_Básico_Rosa.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Básico;Algodão;Rosa;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Sem_Manga_Regata_Estampado_Estampa_Pequena_Pontilhada.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Estampado;Algodão;Branco;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Estampa pequena/pontilhada;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Sem_Manga_Regata_Estampado_Estampa_Pequena_Escura.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Estampado;Algodão;Branco;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Estampa pequena escura;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Sem_Manga_Regata_Listrado.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Listrado;Algodão;Branco e Cinza;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Listras horizontais;1;Alta;Sem etiqueta de tamanho legível
0-3/Body_Sem_Manga_Regata_Básico_Azul_Marinho.jpeg;0-3;0-3;Não Visível;Body;Body Sem Manga;Body Regata Básico;Algodão;Azul Marinho;Sem Manga;Sem Perna;Botões de Pressão entrepernas;Liso básico;1;Alta;Sem etiqueta de tamanho legível
0-3/Macaquinho_Jardineira_Curto_Sem_Manga_com_Bolsos_de_Flamingo.jpeg;0-3;0-3;Não Visível;Macaquinho/Jardineira;Macaquinho Curto Sem Manga;Macaquinho com Bolsos de Flamingo;Algodão;Cinza;Sem Manga;Curta;Botões de Pressão entrepernas;Bolinhas brancas e bolsos/patches de flamingo;1;Alta;Agrupado como Macaquinho/Jardineira para diferenciar de body
0-3/Conjunto_Vestido_e_Tapa_Fralda_Regata_Estampado_e_Tapa_Fralda_Branco.jpeg;0-3;0-3;Não Visível;Conjunto;Conjunto Vestido e Tapa-Fralda;Vestido Regata Estampado e Tapa-Fralda Branco;Algodão;Branco, Rosa e Verde;Sem Manga;Tapa-Fralda/Shorts;Não Visível;Estampa tropical de flamingos;1;Alta;Classificado como conjunto e itens descritos no subtipo
0-3/Vestido_Body_Sem_Manga_Floral.jpeg;0-3;0-3;Não Visível;Vestido;Vestido Body Sem Manga;Body Vestido Floral;Algodão;Amarelo;Sem Manga;Saia Curta com Body;Botões de Pressão entrepernas;Estampa floral colorida;1;Alta;Tem formato de vestido com fechamento de body
0-3/Macacão_com_Pezinho_Algodão_Estampado_Estampa_Pequena_Infantil.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Lilás;Manga Longa;Comprida com Pezinho;Não Visível;Estampa pequena infantil;1;Alta;Tamanho e fechamento não legíveis
0-3/Macacão_com_Pezinho_Algodão_Estampado_Detalhe_Estampa_Pequena_Frontal.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Lilás;Manga Longa;Comprida com Pezinho;Não Visível;Detalhe/estampa pequena frontal;1;Alta;Tamanho e fechamento não legíveis
0-3/Macacão_com_Pezinho_Algodão_Canelado_Rosa_Coral.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Canelado;Algodão Canelado;Rosa/Coral;Manga Longa;Comprida com Pezinho;Não Visível;Canelado liso;1;Alta;Tamanho e fechamento não legíveis
0-3/Macacão_com_Pezinho_Algodão_Canelado_Bege_Cinza_Claro.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Canelado;Algodão Canelado;Bege/Cinza Claro;Manga Longa;Comprida com Pezinho;Não Visível;Canelado liso;1;Alta;Tamanho e fechamento não legíveis
0-3/Macacão_com_Pezinho_Algodão_Estampado_Estampa_Floral_Colorida.jpeg;0-3;0-3;Não Visível;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Branco com Flores Coloridas;Manga Longa;Comprida com Pezinho;Não Visível;Estampa floral colorida;1;Alta;Tamanho e fechamento não legíveis
0-3/Conjunto_Moletom_Blusa_Manga_Longa_Colorblock_e_Calça.jpeg;0-3;0-3;Não Visível;Conjunto;Conjunto Moletom;Blusa Manga Longa Colorblock e Calça;Moletom/Algodão;Caramelo, Rosa e Cinza;Manga Longa;Calça Comprida sem Pezinho;Pulôver e Elástico/Cordão na Calça;Blusa colorblock e calça caramelo;1;Alta;Classificado como conjunto e itens descritos no subtipo
0-3/Calça_Básica_Cinza.jpeg;0-3;0-3;Não Visível;Calça;Calça;Calça Básica;Algodão/Moletom;Cinza;Não Aplicável;Comprida sem Pezinho;Elástico na Cintura;Lisa básica;1;Alta;Sem etiqueta de tamanho legível
0-3/Calça_Básica_Rosa.jpeg;0-3;0-3;Não Visível;Calça;Calça;Calça Básica;Algodão/Plush;Rosa;Não Aplicável;Comprida sem Pezinho;Elástico na Cintura;Lisa básica;1;Alta;Sem etiqueta de tamanho legível
9-12/Body_Manga_Curta_Estampado_Personagens_Snoopy_e_Woodstock_no_Peito.jpeg;9-12;9-12;9-12;Body;Body Manga Curta;Body Estampado/Personagens;Algodão;Off-White;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Snoopy e Woodstock no peito;1;Alta;"Etiqueta C&A 9-12 visível; movido para a pasta 9-12"
9-12/Body_Manga_Curta_Estampado_Personagens_Estampa_Corrida_Snoopy_e_Woodstock.jpeg;9-12;9-12;9-12;Body;Body Manga Curta;Body Estampado/Personagens;Algodão;Off-White;Manga Curta;Sem Perna;Botões de Pressão entrepernas;Estampa corrida Snoopy e Woodstock;1;Alta;"Etiqueta C&A 9-12 visível; movido para a pasta 9-12"
6-9/Conjunto_Vestido_e_Body_Manga_Longa_Xadrez_Sem_Manga_e_Body_Branco_Manga_Longa_com_Gola.jpeg;6-9;6-9;6-9M;Conjunto;Conjunto Vestido e Body Manga Longa;Vestido Xadrez Sem Manga e Body Branco Manga Longa com Gola;Algodão/Flanela;Bege, Preto e Branco;Manga Longa;Saia Curta/Rodada;Não Visível;Xadrez bege com laço preto e gola rendada;1;Alta;Etiqueta Cozy Pixies 6-9M visível
6-9/Conjunto_Vestido_Tapa_Fralda_e_Faixa_Manga_Longa_Xadrez_Tapa_Fralda_e_Faixa.jpeg;6-9;6-9;9M;Conjunto;Conjunto Vestido, Tapa-Fralda e Faixa;Vestido Manga Longa Xadrez, Tapa-Fralda e Faixa;Algodão/Flanela;Off-White, Rosa e Bege;Manga Longa;Tapa-Fralda/Shorts;Botões Frontais;Xadrez rosa e bege com botões e faixa;1;Alta;Etiqueta Carter's 9M visível
6-9/Vestido_Manga_Longa_Veludo.jpeg;6-9;6-9;6-9M;Vestido;Vestido Manga Longa;Vestido de Veludo;Veludo;Vermelho/Vinho;Manga Longa;Saia Curta/Rodada;Não Visível;Veludo vermelho com babados e lacinhos;1;Alta;Etiqueta Cozy Pixies parece 6-9M
9-12/Conjunto_Vestido_Blusa_e_Faixa_Jardineira_Blusa_Manga_Curta_e_Faixa.jpeg;9-12;9-12;Não Visível;Conjunto;Conjunto Vestido, Blusa e Faixa;Vestido Jardineira, Blusa Manga Curta e Faixa;Algodão;Rosa e Branco;Manga Curta;Saia Curta/Rodada;Botões no Vestido/Jardineira;Ursinha, corações e laço;1;Alta;"Conjunto com vestido jardineira, blusa e faixa; etiqueta de tamanho não visível"
9-12/Conjunto_Moletom_Blusa_com_Capuz_e_Calça.jpeg;9-12;9-12;Não Visível;Conjunto;Conjunto Moletom;Blusa com Capuz e Calça;Moletom;Rosa;Manga Longa;Calça Comprida sem Pezinho;Zíper Frontal e Elástico na Calça;Flores brancas grandes;1;Alta;"Conjunto com blusa de capuz e calça; etiqueta de tamanho não visível"
6-9/Conjunto_Blusa_Manga_Longa_e_Calça_Branca_com_Coração.jpeg;6-9;6-9;Não Visível;Conjunto;Conjunto Blusa Manga Longa e Calça;Blusa Manga Longa e Calça Branca com Coração;Algodão;Branco;Manga Longa;Calça Comprida sem Pezinho;Elástico na Calça;Coração de strass na blusa e na calça;1;Alta;"Conjunto branco com blusa manga longa e calça; etiqueta de tamanho não visível"
3-6/Conjunto_Body_Manga_Longa_e_Calça_Canelados_Rosa_Claro.jpeg;3-6;3-6;3-6M;Conjunto;Conjunto Body Manga Longa e Calça;Body Manga Longa e Calça Canelados;Algodão Canelado;Rosa Claro;Manga Longa;Calça Comprida sem Pezinho;Botões de Pressão no Body e Elástico na Calça;Coração branco no body;1;Alta;Etiqueta 3-6M visível na calça
3-6/Conjunto_Body_Manga_Longa_e_Calça_Canelados_Branco.jpeg;3-6;3-6;Não Visível;Conjunto;Conjunto Body Manga Longa e Calça;Body Manga Longa e Calça Canelados;Algodão Canelado;Branco;Manga Longa;Calça Comprida sem Pezinho;Botões de Pressão no Body e Elástico na Calça;Coração rosa no body;1;Alta;Tamanho não legível na imagem
3-6/Conjunto_Body_Manga_Longa_e_Calça_Canelados_Cinza_Mescla.jpeg;3-6;3-6;3-6M;Conjunto;Conjunto Body Manga Longa e Calça;Body Manga Longa e Calça Canelados;Algodão Canelado;Cinza Mescla;Manga Longa;Calça Comprida sem Pezinho;Botões de Pressão no Body e Elástico na Calça;Coração rosa no body;1;Alta;Etiqueta 3-6M visível no body
3-6/Body_Manga_Longa_com_Babados_Bege.jpeg;3-6;3-6;3-6M;Body;Body Manga Longa;Body com Babados;Algodão;Bege;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Babados nos ombros;1;Alta;Etiqueta Cozy Pixies 3-6M visível
3-6/Body_Manga_Longa_com_Babados_Rosa.jpeg;3-6;3-6;3-6M;Body;Body Manga Longa;Body com Babados;Algodão;Rosa;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Babados nos ombros;1;Alta;Etiqueta Cozy Pixies 3-6M visível
3-6/Body_Manga_Longa_com_Babados_Branco.jpeg;3-6;3-6;3-6M;Body;Body Manga Longa;Body com Babados;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;Babados nos ombros;1;Alta;Etiqueta Cozy Pixies 3-6M visível
